template,frequency
The [X] said that [Y],9
The [X] thought that [Y],5
The [X] knew that [Y],5
The [X] realized that [Y],3
The [X] remembered that [Y],2
The [X] decided that [Y],2
The [X] found tours and [Y],1
The [X] looked the jockeys that [Y],1
The [X] sold tickets and [Y],1
The [X] eyed the money that [Y],1
The [X] got if [Y],1
The [X] knew from experience that [Y],1
The [X] accepted a proposition that [Y],1
The [X] gave horses while [Y],1
The [X] searched a what that [Y],1
The [X] went a clump that [Y],1
The [X] decided if [Y],1
The [X] accepted the proposition that [Y],1
The [X] realized the heroes that [Y],1
The [X] believed that [Y],1
The [X] accepted the letters that [Y],1
The [X] nodded at time that [Y],1
The [X] thought affairs that [Y],1
The [X] took the warning that [Y],1
The [X] tormented The Rock that [Y],1
The [X] liked Millbrook [Y],1
The [X] bought from newspapers that [Y],1
The [X] cared nothing or [Y],1
The [X] cared that [Y],1
The [X] made checks but [Y],1
The [X] learnt comfortable that [Y],1
The [X] reconnoiterred the job that [Y],1
The [X] was careful [Y],1
The [X] took an grip that [Y],1
The [X] was as [Y],1
The [X] continued ride morning and [Y],1
The [X] hummed as [Y],1
The [X] found no fault that [Y],1
The [X] signed books [Y],1
The [X] told that [Y],1
The [X] knew a mistake that [Y],1
The [X] made a face that [Y],1
The [X] wrote Ward and [Y],1
The [X] supposed the least that [Y],1
The [X] felt feverish as [Y],1
The [X] opened the door that [Y],1
The [X] did what [Y],1
The [X] saw no reason that [Y],1
The [X] slammed things and [Y],1
The [X] was livid [Y],1
The [X] sat on staircase that [Y],1
The [X] spent the time that [Y],1
The [X] worried the note that [Y],1
The [X] liked the thing that [Y],1
The [X] saw them that [Y],1
The [X] wondered what [Y],1
The [X] payed a fortune that [Y],1
The [X] thought the which that [Y],1
The [X] forgave blasphemy [Y],1
The [X] brought it [Y],1
The [X] dove the shotgun that [Y],1
The [X] was an man that [Y],1
The [X] shambled and [Y],1
The [X] wondered without anxiety that [Y],1
The [X] felt a burst that [Y],1
The [X] got with reporting that [Y],1
The [X] knew the family that [Y],1
The [X] told the writer that [Y],1
The [X] thought since [Y],1
The [X] poled craft until [Y],1
The [X] went a service that [Y],1
The [X] considered boring that [Y],1
The [X] took no news as [Y],1
The [X] phoned Kinser and [Y],1
The [X] bounced a visitor that [Y],1
The [X] anxioued than [Y],1
The [X] asked the headwaiter that [Y],1
The [X] insisted the them that [Y],1
The [X] thrust the folder that [Y],1
The [X] felt relieved and [Y],1
The [X] mentioned what [Y],1
The [X] balked the proceeds that [Y],1
The [X] looked small and [Y],1
The [X] asked me [Y],1
The [X] treated the need that [Y],1
The [X] listened to Field that [Y],1
The [X] pulverized the lies that [Y],1
The [X] took days but [Y],1
The [X] announced that [Y],1
The [X] stood the page that [Y],1
The [X] took stock that [Y],1
The [X] stood the stickiness that [Y],1
The [X] told the trainers that [Y],1
The [X] nodded and [Y],1
The [X] dropped Duke and [Y],1
The [X] remembered bag and [Y],1
The [X] searched for him that [Y],1
The [X] swallowed a movement that [Y],1
The [X] decided against type that [Y],1
The [X] knew what [Y],1
The [X] stood out car that [Y],1
The [X] wondered the him that [Y],1
The [X] bought delighted and [Y],1
The [X] leapt to cab that [Y],1
The [X] rolled the horsevan that [Y],1
The [X] drove the horsevan that [Y],1
The [X] was a old than [Y],1
The [X] agreed with anyone that [Y],1
The [X] glanced and [Y],1
The [X] felt if [Y],1
The [X] inherited the strength that [Y],1
The [X] disliked Morrison as [Y],1
The [X] had these scraps that [Y],1
The [X] jettisoned this theory that [Y],1
