template,frequency
The [X] said that [Y],81
The [X] announced that [Y],6
The [X] thought that [Y],6
The [X] was a member [Y],6
The [X] knew that [Y],6
The [X] acknowledged that [Y],3
The [X] revealed that [Y],3
The [X] added that [Y],3
The [X] spent years [Y],2
The [X] proved that [Y],2
The [X] did that [Y],2
The [X] admitted that [Y],2
The [X] was that [Y],2
The [X] realized that [Y],2
The [X] did what [Y],2
The [X] was a player but [Y],2
The [X] decided that [Y],2
The [X] was able [Y],2
The [X] was out place that [Y],2
The [X] attended College [Y],2
The [X] worked for years that [Y],2
The [X] came from planet that [Y],2
The [X] was a sorceress while [Y],2
The [X] had access and [Y],2
The [X] had a leg that [Y],2
The [X] wore a diaper that [Y],2
The [X] told him if [Y],1
The [X] was unsurprised [Y],1
The [X] was in NFL that to play [Y],1
The [X] went give everything [Y],1
The [X] exemplified what [Y],1
The [X] increased if [Y],1
The [X] worked for Franklin that [Y],1
The [X] withdrew the application that [Y],1
The [X] called leader [Y],1
The [X] was a guy and [Y],1
The [X] dropped out race that [Y],1
The [X] lotted that [Y],1
The [X] said during interview that [Y],1
The [X] mentioned the criticism that [Y],1
The [X] was a president because [Y],1
The [X] played on Sunday that [Y],1
The [X] was a teenager but [Y],1
The [X] saw patients while [Y],1
The [X] toured Japan and [Y],1
The [X] took things that [Y],1
The [X] finished praising performance [Y],1
The [X] appeared have what [Y],1
The [X] held a interest that [Y],1
The [X] was an exploration and [Y],1
The [X] heard them but [Y],1
The [X] was ruined [Y],1
The [X] said right that [Y],1
The [X] talked much [Y],1
The [X] said Christians and [Y],1
The [X] came elections [Y],1
The [X] put in work that [Y],1
The [X] was name and [Y],1
The [X] loved the culture that [Y],1
The [X] looked a himself that [Y],1
The [X] owned the franchise that [Y],1
The [X] talked that [Y],1
The [X] dropped the joint that [Y],1
The [X] wavered across face that [Y],1
The [X] curled into ball that [Y],1
The [X] recalled the things that [Y],1
The [X] leaved tips that [Y],1
The [X] had some moments that [Y],1
The [X] cost the yards that [Y],1
The [X] opened in position that [Y],1
The [X] went and [Y],1
The [X] led campaign and [Y],1
The [X] helped success [Y],1
The [X] had construct image that [Y],1
The [X] was a man [Y],1
The [X] was nimble [Y],1
The [X] leaved me but [Y],1
The [X] seemed a skills that [Y],1
The [X] decided campaign that [Y],1
The [X] hired Englander after [Y],1
The [X] was an move because [Y],1
The [X] was the maker because [Y],1
The [X] was the closer but [Y],1
The [X] looked ready but [Y],1
The [X] brought a OBP that [Y],1
The [X] was the choice but [Y],1
The [X] enjoyed watching channels [Y],1
The [X] was 9 [Y],1
The [X] was interest [Y],1
The [X] responded to comments that [Y],1
The [X] planned the hotel that [Y],1
The [X] told me [Y],1
The [X] respected wishes as [Y],1
The [X] accepted a position that [Y],1
The [X] joined from Elementary that [Y],1
The [X] came to DoDEA that [Y],1
The [X] gained recognition and [Y],1
The [X] repeated stereotypes [Y],1
The [X] was white and [Y],1
The [X] said marriages [Y],1
The [X] scored goal but [Y],1
The [X] was solitary and [Y],1
The [X] asked him [Y],1
The [X] had pair since [Y],1
The [X] said quick as [Y],1
The [X] remained loyal until [Y],1
The [X] succumbed to needs that [Y],1
The [X] was delighted that [Y],1
The [X] changed the that [Y],1
The [X] wrote that [Y],1
The [X] opposed tolerance and [Y],1
The [X] repudiated the letter that [Y],1
The [X] said in response that [Y],1
The [X] said to hear that [Y],1
The [X] said willing if [Y],1
The [X] published findings and [Y],1
The [X] earned golds and [Y],1
The [X] was a sophomore whether [Y],1
The [X] trained with Gemmell that [Y],1
The [X] was a star but [Y],1
